,City,Cloudiness,Country,Date,Lat,Lng,Temp,Windspeed,Humidity,Max_temp
0,Mataura,55,NZ,1586988180,-46.19,168.86,51.01,14.0,76,51.01
1,Arraial do Cabo,40,BR,1586988180,-22.97,-42.03,77.0,3.36,83,77.0
2,Maniwaki,100,CA,1586988164,46.38,-75.97,37.08,7.83,64,37.08
3,Payson,90,US,1586988005,40.04,-111.73,50.74,5.82,24,57.2
4,Isangel,20,VU,1586988180,-19.55,169.27,80.6,7.83,83,80.6
5,Puerto Ayora,40,EC,1586988044,-0.74,-90.35,84.76,17.22,66,86.0
6,Khatanga,0,RU,1586988105,71.97,102.5,-9.6,6.35,89,-9.6
7,Palmer,20,US,1586988181,42.16,-72.33,46.27,11.41,26,50.0
8,Narsaq,100,GL,1586988181,60.92,-46.05,37.4,2.24,74,37.4
9,Vila Velha,99,BR,1586988181,-20.33,-40.29,80.29,12.75,83,80.6
10,Ha Giang,94,VN,1586988236,22.83,104.98,70.52,1.7,80,70.52
11,Busselton,76,AU,1586988037,-33.65,115.33,55.0,6.22,96,55.0
12,Belaya Kholunitsa,100,RU,1586988236,58.84,50.85,45.41,13.11,75,45.41
13,Punta Arenas,91,CL,1586988038,-53.15,-70.92,50.0,3.36,76,50.0
14,Bambous Virieux,40,MU,1586988087,-20.34,57.76,77.0,12.75,78,77.0
15,Albany,40,US,1586988035,42.6,-73.97,43.7,9.17,31,46.99
16,Qaanaaq,73,GL,1586988013,77.48,-69.36,10.35,2.35,90,10.35
17,Dikson,62,RU,1586988000,73.51,80.55,4.42,5.41,82,4.42
18,Honningsvåg,40,NO,1586988421,70.98,25.97,35.33,18.34,74,35.6
19,Thompson,40,CA,1586988036,55.74,-97.86,24.8,16.11,41,24.8
20,Sibolga,100,ID,1586988421,1.74,98.78,76.86,3.04,83,76.86
21,Palafrugell,75,ES,1586988421,41.92,3.16,57.7,3.36,93,60.01
22,Jamestown,90,US,1586988036,42.1,-79.24,32.41,10.29,92,39.99
23,Loandjili,100,CG,1586988436,-4.76,11.86,81.39,7.38,89,81.39
24,Zhezkazgan,0,KZ,1586988436,47.8,67.71,44.28,4.32,47,44.28
25,Nikolskoye,40,RU,1586988436,59.7,30.79,29.48,4.47,86,30.0
26,Coahuayana Viejo,40,MX,1586988436,18.73,-103.68,89.6,5.82,24,89.6
27,Yangi Marg`ilon,47,UZ,1586988740,40.43,71.72,48.2,2.24,87,48.2
28,Ostrogozhsk,100,RU,1586988759,50.87,39.08,37.72,10.67,73,37.72
29,Klaksvík,55,FO,1586988759,62.23,-6.59,41.0,14.99,65,41.0
30,Port Alfred,3,ZA,1586988759,-33.59,26.89,60.01,3.0,92,60.01
31,Xiaolingwei,46,CN,1586988759,32.03,118.85,59.07,4.47,87,61.0
32,Mahalapye,0,BW,1586988760,-23.1,26.81,68.09,6.15,16,68.09
33,Kapoeta,100,SS,1586988760,4.77,33.59,79.81,2.15,51,79.81
35,General Pico,39,AR,1586989003,-35.66,-63.76,68.11,5.77,39,68.11
36,Cape Town,40,ZA,1586988773,-33.93,18.42,57.72,3.36,82,60.01
37,Coquimbo,75,CL,1586989066,-29.95,-71.34,62.6,9.17,67,62.6
38,Castro,0,BR,1586989066,-24.79,-50.01,55.24,0.51,41,55.24
39,Ponta do Sol,40,PT,1586989066,32.67,-17.1,59.79,5.82,72,60.8
40,Moose Factory,1,CA,1586989067,51.26,-80.61,26.6,16.11,35,26.6
41,Rikitea,99,PF,1586989067,-23.12,-134.97,76.35,4.61,72,76.35
